63FF	U+64B3
6400	U+6519
6401	U+64F1
6402	U+645F
6405	U+652A
643A	U+651C
6444	U+651D
6445	U+6504
6446	U+64FA
6447	U+6416
6448	U+64EF
644A	U+6524
6484	U+6516
6491	U+6490
64B5	U+6506
64B7	U+64F7
64B8	U+64FC
64BA	U+651B
64DE	U+64FB
6512	U+6522
654C	U+6575
655B	U+6582
6570	U+6578
658B	U+9F4B
6593	U+6595
6597	U+9B25
65A9	U+65AC
65AD	U+65B7
65E0	U+7121
65E7	U+820A
65F6	U+6642
65F7	U+66E0
65F8	U+6698
6619	U+66C7
663C	U+665D
663D	U+66E8
663E	U+986F
664B	U+6649
6652	U+66EC
6653	U+66C9
6654	U+66C4
6655	U+6688
6656	U+6689
6682	U+66AB
66A7	U+66D6
672F	U+8853
6734	U+6A38
673A	U+6A5F
6740	U+6BBA
6742	U+96DC
6743	U+6B0A
6746	U+687F
6761	U+689D
6765	U+4F86
6768	U+694A
6769	U+69AA
6770	U+5091
677E	U+9B06
677F	U+95C6
6781	U+6781 U+6975
6784	U+69CB
679E	U+6A05
67A2	U+6A1E
67A3	U+68D7
67A5	U+6AEA
67A7	U+6898
67A8	U+68D6
67AA	U+69CD
67AB	U+6953
67AD	U+689F
67DC	U+6AC3
67E0	U+6AB8
67FD	U+6A89
6800	U+6894
6805	U+67F5
6807	U+6A19
6808	U+68E7
6809	U+6ADB
680A	U+6AF3
680B	U+68DF
680C	U+6AE8
680E	U+6ADF
680F	U+6B04
6811	U+6A39
6816	U+68F2
6817	U+6144
6837	U+6A23
683E	U+6B12
6860	U+690F
6861	U+6A48
6862	U+6968
6863	U+6A94
6864	U+69BF
6865	U+6A4B
6866	U+6A3A
6867	U+6A9C
6868	U+69F3
6869	U+6A01
68A6	U+5922
68BC	U+6AAE
68BE	U+68F6
68BF	U+69E4
68C0	U+6AA2
68C1	U+68B2
68C2	U+6B1E
6901	U+69E8
691F	U+6ADD
6920	U+69E7
6924	U+6B0F
692D	U+6A62
697C	U+6A13
6984	U+6B16
6985	U+69B2
6987	U+6AEC
6988	U+6ADA
6989	U+6AF8
69DA	U+6A9F
69DB	U+6ABB
69DF	U+6AB3
69E0	U+6AE7
6A2A	U+6A6B
6A2F	U+6AA3
6A31	U+6AFB
6A65	U+6AEB
6A71	U+6AE5
6A79	U+6AD3
6A7C	U+6ADE
6AA9	U+6A81
6B22	U+6B61
6B24	U+6B5F
6B27	U+6B50
6B7C	U+6BB2
6B81	U+6B7F
6B87	U+6BA4
6B8B	U+6B98
6B92	U+6B9E
6B93	U+6BAE
6B9A	U+6BAB
6BA1	U+6BAF
6BB4	U+6BC6
6BC1	U+6BC0
6BC2	U+8F42
6BD5	U+7562
6BD9	U+6583
6BE1	U+6C08
6BF5	U+6BFF
6C07	U+6C0C
6C14	U+6C23
6C22	U+6C2B
6C29	U+6C2C
6C32	U+6C33
6C47	U+532F U+5F59
6C49	U+6F22
6C64	U+6E6F
6C79	U+6D36
6C88	U+700B
6C9F	U+6E9D
6CA1	U+6C92
6CA3	U+7043
6CA4	U+6F1A
6CA5	U+701D
6CA6	U+6DEA
6CA7	U+6EC4
6CA9	U+6E88 U+6F59
6CAA	U+6EEC
6CDE	U+6FD8
6CE8	U+8A3B
6CEA	U+6DDA
6CF6	U+6FA9
6CF7	U+7027
6CF8	U+7018
6CFA	U+6FFC
6CFB	U+7009
6CFC	U+6F51
6CFD	U+6FA4
6CFE	U+6D87
6D01	U+6F54
6D12	U+7051
6D3C	U+7AAA
6D43	U+6D79
6D45	U+6DFA
6D46	U+6F3F
6D47	U+6F86
6D48	U+6E5E
6D4A	U+6FC1
6D4B	U+6E2C
6D4D	U+6FAE
6D4E	U+6FDF
6D4F	U+700F
6D50	U+6EFB
6D51	U+6E3E
6D52	U+6EF8
6D53	U+6FC3
6D54	U+6F6F
6D82	U+5857
6D9B	U+6FE4
6D9D	U+6F87
6D9E	U+6DF6
6D9F	U+6F23
6DA0	U+6F7F
6DA1	U+6E26
6DA3	U+6E19
6DA4	U+6ECC
6DA6	U+6F64
6DA7	U+6F97
6DA8	U+6F32
6DA9	U+6F80
6DC0	U+6FB1
6E0A	U+6DF5
6E0C	U+6DE5
6E0D	U+6F2C
6E0E	U+7006
6E10	U+6F38
6E11	U+6FA0
6E14	U+6F01
6E16	U+700B
6E17	U+6EF2
6E29	U+6EAB
6E7E	U+7063
6E7F	U+6FD5
6E83	U+6F70
6E85	U+6FFA
6E86	U+6F35
6ED7	U+6F77
6EDA	U+6EFE
6EDE	U+6EEF
6EDF	U+7067
6EE0	U+7044
6EE1	U+6EFF
6EE2	U+7005
6EE4	U+6FFE
6EE5	U+6FEB
6EE6	U+7064
6EE8	U+6FF1
6EE9	U+7058
6EEA	U+6FA6
6F13	U+7055
6F24	U+7060
6F46	U+7020
6F47	U+701F
6F4B	U+7032
6F4D	U+6FF0
6F5C	U+6F5B
6F74	U+7026
6F9C	U+703E
6FD1	U+7028
6FD2	U+7015
704F	U+705D
706D	U+6EC5
706F	U+71C8
7075	U+9748
7076	U+7AC8
707E	U+707D
707F	U+71E6
7080	U+716C
7089	U+7210
7096	U+71C9
709C	U+7152
709D	U+7197
70B9	U+9EDE
70BC	U+7149
70BD	U+71BE
70C1	U+720D
70C2	U+721B
70C3	U+70F4
70DB	U+71ED
70DF	U+7159
70E6	U+7169
70E7	U+71D2
70E8	U+71C1
70E9	U+71F4
70EB	U+71D9
70EC	U+71FC
70ED	U+71B1
7115	U+7165
7116	U+71DC
7118	U+71FE
7174	U+7185
7231	U+611B
7237	U+723A
724D	U+7258
7266	U+6C02
7275	U+727D
727A	U+72A7
728A	U+72A2
72B6	U+72C0
72B7	U+7377
72B8	U+7341
72B9	U+7336
72C8	U+72FD
72DD	U+736E
72DE	U+7370
72EC	U+7368
72ED	U+72F9
72EE	U+7345
72EF	U+736A
72F0	U+7319
72F1	U+7344
72F2	U+733B
7303	U+736B
730E	U+7375
7315	U+737C
7321	U+7380
732A	U+8C6C
732B	U+8C93
732C	U+875F
732E	U+737B
736D	U+737A
7391	U+74A3
739A	U+7452
739B	U+746A
73AE	U+744B
73AF	U+74B0
73B0	U+73FE
73B1	U+7472
73BA	U+74BD
73D0	U+743A
73D1	U+74CF
73F0	U+74AB
73F2	U+743F
740F	U+7489
7410	U+7463
743C	U+74CA
7476	U+7464
7477	U+74A6
748E	U+74D4
74D2	U+74DA
74EF	U+750C
7535	U+96FB
753B	U+756B
7545	U+66A2
7574	U+7587
7596	U+7664
7597	U+7642
759F	U+7627
75A0	U+7658
75A1	U+760D
75AC	U+7667
75AD	U+7632
75AE	U+7621
75AF	U+760B
75B1	U+76B0
75B4	U+75FE
75C7	U+7665
75C8	U+7670
75C9	U+75D9
75D2	U+7662
75D6	U+7602
75E8	U+7646
75EA	U+7613
75EB	U+7647
7605	U+7649
7606	U+762E
7617	U+761E
7618	U+763A U+763B
762A	U+765F
762B	U+7671
763E	U+766E
763F	U+766D
765E	U+7669
7663	U+766C
766B	U+7672
7691	U+769A
76B1	U+76BA
76B2	U+76B8
76CF	U+76DE
76D0	U+9E7D
76D1	U+76E3
76D6	U+84CB
76D7	U+76DC
76D8	U+76E4
770D	U+7798
7726	U+7725
772C	U+77D3
7740	U+8457
7741	U+775C
7750	U+775E
7751	U+77BC
7786	U+77B6
7792	U+779E
77A9	U+77DA
77EB	U+77EF
77F6	U+78EF
77FE	U+792C
77FF	U+7926
7800	U+78AD
7801	U+78BC
7816	U+78DA
7817	U+7868
781A	U+786F
781C	U+78B8
783A	U+792A
783B	U+7931
783E	U+792B
7840	U+790E
7841	U+785C
7855	U+78A9
7856	U+7864
7857	U+78FD
7859	U+78D1
786E	U+78BA
7877	U+7906 U+9E7C
788D	U+7919
789B	U+78E7
789C	U+78E3
78B1	U+9E7C
793C	U+79AE
7943	U+79A1
794E	U+7995
7962	U+79B0
796F	U+798E
7977	U+79B1
7978	U+798D
7980	U+7A1F
7984	U+797F
7985	U+79AA
79BB	U+96E2
79C3	U+79BF
79C6	U+7A08
79CD	U+7A2E
79EF	U+7A4D
79F0	U+7A31
79FD	U+7A62
79FE	U+7A60
7A06	U+7A6D
7A0E	U+7A05
7A23	U+7A4C
7A33	U+7A69
7A51	U+7A61
7A77	U+7AAE
7A83	U+7ACA
7A8D	U+7AC5
7A8E	U+7AB5
7A91	U+7AAF
7A9C	U+7AC4
7A9D	U+7AA9
7AA5	U+7ABA
7AA6	U+7AC7
7AAD	U+7AB6
7AD6	U+7AEA U+8C4E
7ADE	U+7AF6
7B03	U+7BE4
7B0B	U+7B4D
7B14	U+7B46
7B15	U+7B67
7B3A	U+7B8B
7B3C	U+7C60
7B3E	U+7C69
7B51	U+7BC9
7B5A	U+7BF3
7B5B	U+7BE9
7B5C	U+7C39
7B5D	U+7B8F
7B79	U+7C4C
7B7C	U+7BD4
7B7E	U+7C3D
7B80	U+7C21
7B93	U+7C59
7BA6	U+7C00
7BA7	U+7BCB
7BA8	U+7C5C
7BA9	U+7C6E
7BAA	U+7C1E
7BAB	U+7C2B
7BD1	U+7C23
7BD3	U+7C0D
7BEE	U+7C43
7BF1	U+7C6C
7C16	U+7C6A
7C41	U+7C5F
7C74	U+7CF4
7C7B	U+985E
7C7C	U+79C8
7C9C	U+7CF6
7C9D	U+7CF2
7CA4	U+7CB5
7CAA	U+7CDE
7CAE	U+7CE7
7CC1	U+7CDD
7CC7	U+9931
7CFB	U+4FC2 U+7E6B
7D27	U+7DCA
7D2F	U+7E8D
7D77	U+7E36
7E9F	U+7CF9
7EA0	U+7CFE
7EA1	U+7D06
7EA2	U+7D05
7EA3	U+7D02
7EA4	U+7E96
7EA5	U+7D07
7EA6	U+7D04
7EA7	U+7D1A
7EA8	U+7D08
7EA9	U+7E8A
7EAA	U+7D00
7EAB	U+7D09
7EAC	U+7DEF
7EAD	U+7D1C
7EAE	U+7D18
7EAF	U+7D14
7EB0	U+7D15
7EB1	U+7D17
7EB2	U+7DB1
7EB3	U+7D0D
7EB4	U+7D1D
7EB5	U+7E31
7EB6	U+7DB8
7EB7	U+7D1B
7EB8	U+7D19
7EB9	U+7D0B
7EBA	U+7D21
7EBB	U+7D35
7EBC	U+7D16
7EBD	U+7D10
7EBE	U+7D13
7EBF	U+7DAB U+7DDA
7EC0	U+7D3A
7EC1	U+7D32
7EC2	U+7D31
7EC3	U+7DF4
7EC4	U+7D44
7EC5	U+7D33
7EC6	U+7D30
7EC7	U+7E54
7EC8	U+7D42
7EC9	U+7E10
7ECA	U+7D46
7ECB	U+7D3C
7ECC	U+7D40
7ECD	U+7D39
7ECE	U+7E79
7ECF	U+7D93
7ED0	U+7D3F
7ED1	U+7D81
7ED2	U+7D68
7ED3	U+7D50
7ED4	U+7D5D
7ED5	U+7E5E
7ED6	U+7D70
7ED7	U+7D4E
7ED8	U+7E6A
7ED9	U+7D66
7EDA	U+7D62
7EDB	U+7D73
7EDC	U+7D61
7EDD	U+7D55 U+7D76
7EDE	U+7D5E
7EDF	U+7D71
7EE0	U+7D86
7EE1	U+7D83
7EE2	U+7D79
7EE3	U+7D89 U+7E61
7EE4	U+7D8C
7EE5	U+7D8F
7EE6	U+7D5B U+7E27
7EE7	U+7E7C
7EE8	U+7D88
7EE9	U+7E3E
7EEA	U+7DD2
7EEB	U+7DBE
7EEC	U+7DD3
7EED	U+7E8C
7EEE	U+7DBA
7EEF	U+7DCB
7EF0	U+7DBD
7EF1	U+7DD4 U+979D
7EF2	U+7DC4
7EF3	U+7E69
7EF4	U+7DAD
7EF5	U+7DBF
7EF6	U+7DAC
7EF7	U+7DB3 U+7E43
7EF8	U+7DA2
7EF9	U+7DAF
7EFA	U+7DB9
7EFB	U+7DA3
7EFC	U+7D9C
7EFD	U+7DBB
7EFE	U+7DB0
7EFF	U+7DA0 U+7DD1
7F00	U+7DB4
7F01	U+7DC7
7F02	U+7DD9
7F03	U+7DD7
7F04	U+7DD8
7F05	U+7DEC
7F06	U+7E9C
7F07	U+7DF9
7F08	U+7DF2
7F09	U+7DDD
7F0A	U+7E15
7F0B	U+7E62
7F0C	U+7DE6
7F0D	U+7D9E
7F0E	U+7DDE
7F0F	U+7DF6
7F11	U+7DF1
7F12	U+7E0B
7F13	U+7DE9
7F14	U+7DE0
7F15	U+7E37
7F16	U+7DE8
7F17	U+7DE1
7F18	U+7DE3
7F19	U+7E09
7F1A	U+7E1B
7F1B	U+7E1F
7F1C	U+7E1D
7F1D	U+7E2B
7F1E	U+7E17
7F1F	U+7E1E
7F20	U+7E8F
7F21	U+7E2D
7F22	U+7E0A
7F23	U+7E11
7F24	U+7E7D
7F25	U+7E39
7F26	U+7E35
7F27	U+7E32
7F28	U+7E93
7F29	U+7E2E
7F2A	U+7E46
7F2B	U+7E45
7F2C	U+7E88
7F2D	U+7E5A
7F2E	U+7E55
7F2F	U+7E52
7F30	U+7E6E U+97C1
7F31	U+7E7E
7F32	U+7E70
7F33	U+7E6F
7F34	U+7E73
7F35	U+7E98
